,Resting_ECG
0,-0.028
1,-0.048
2,-0.051
3,-0.028
4,-0.034
5,-0.051
6,-0.036000000000000004
7,-0.016
8,-0.02
9,-0.026
10,-0.018000000000000002
11,-0.006
12,-0.012
13,-0.001
14,0.005
15,0.003
16,0.014
17,0.031
18,0.017
19,0.016
20,0.039
21,0.047
22,0.04
23,0.048
24,0.07
25,0.054000000000000006
26,0.058
27,0.071
28,0.084
29,0.08
30,0.091
31,0.091
32,0.087
33,0.101
34,0.11
35,0.094
36,0.101
37,0.118
38,0.116
39,0.103
40,0.108
41,0.118
42,0.098
43,0.102
44,0.109
45,0.093
46,0.083
47,0.092
48,0.078
49,0.064
50,0.073
51,0.079
52,0.051
53,0.044
54,0.053
55,0.039
56,0.022
57,0.024
58,0.019
59,-0.009000000000000001
60,-0.019
61,-0.025
62,-0.04
63,-0.059
64,-0.054000000000000006
65,-0.073
66,-0.09
67,-0.08199999999999999
68,-0.08900000000000001
69,-0.104
70,-0.104
71,-0.1
72,-0.099
73,-0.105
74,-0.076
75,-0.08
76,-0.08900000000000001
77,-0.081
78,-0.077
79,-0.079
80,-0.077
81,-0.053
82,-0.063
83,-0.065
84,-0.052000000000000005
85,-0.047
86,-0.055
87,-0.048
88,-0.042
89,-0.055
90,-0.054000000000000006
91,-0.044
92,-0.048
93,-0.057
94,-0.051
95,-0.052000000000000005
96,-0.054000000000000006
97,-0.058
98,-0.047
99,-0.052000000000000005
100,-0.064
101,-0.054000000000000006
102,-0.064
103,-0.07
104,-0.06
105,-0.053
106,-0.061
107,-0.061
108,-0.019
109,-0.001
110,0.027000000000000003
111,0.045
112,0.026
113,0.01
114,0.04
115,0.091
116,0.1
117,0.095
118,0.067
119,0.037000000000000005
120,0.021
121,0.019
122,0.005
123,-0.044
124,-0.053
125,-0.084
126,-0.099
127,-0.1
128,-0.098
129,-0.107
130,-0.12
131,-0.11
132,-0.108
133,-0.112
134,-0.109
135,-0.094
136,-0.103
137,-0.103
138,-0.08900000000000001
139,-0.091
140,-0.098
141,-0.076
142,-0.069
143,-0.075
144,-0.075
145,-0.065
146,-0.102
147,-0.116
148,-0.084
149,-0.021
150,0.08900000000000001
151,0.261
152,0.391
153,0.52
154,0.705
155,0.795
156,0.623
157,0.4270000000000001
158,0.113
159,-0.168
160,-0.387
161,-0.408
162,-0.32
163,-0.214
164,-0.11
165,-0.045
166,-0.043
167,-0.071
168,-0.058
169,-0.042
170,-0.052000000000000005
171,-0.036000000000000004
172,-0.022
173,-0.024
174,-0.021
175,-0.014
176,-0.015
177,-0.018000000000000002
178,0.005
179,0.011
180,0.001
181,0.004
182,0.027000000000000003
183,0.016
184,0.016
185,0.028
186,0.042
187,0.037000000000000005
188,0.035
189,0.048
190,0.036000000000000004
191,0.058
192,0.067
193,0.066
194,0.077
195,0.094
196,0.084
197,0.073
198,0.087
199,0.104
200,0.096
201,0.106
202,0.113
203,0.111
204,0.107
205,0.107
206,0.106
207,0.1
208,0.108
209,0.114
210,0.096
211,0.08900000000000001
212,0.092
213,0.099
214,0.079
215,0.07200000000000001
216,0.075
217,0.064
218,0.053
219,0.055
220,0.052000000000000005
221,0.035
222,0.03
223,0.013
224,-0.012
225,-0.018000000000000002
226,-0.01
227,-0.034
228,-0.058
229,-0.058
230,-0.071
231,-0.093
232,-0.08900000000000001
233,-0.079
234,-0.097
235,-0.109
236,-0.094
237,-0.099
238,-0.092
239,-0.08800000000000001
240,-0.08800000000000001
241,-0.087
242,-0.083
243,-0.075
244,-0.077
245,-0.08199999999999999
246,-0.059
247,-0.067
248,-0.07200000000000001
249,-0.06
250,-0.052000000000000005
251,-0.059
252,-0.048
253,-0.037000000000000005
254,-0.052000000000000005
255,-0.061
256,-0.045
257,-0.037000000000000005
258,-0.048
259,-0.039
260,-0.037000000000000005
261,-0.054000000000000006
262,-0.055
263,-0.037000000000000005
264,-0.056
265,-0.057
266,-0.046
267,-0.05
268,-0.052000000000000005
269,-0.05
270,-0.041
271,-0.036000000000000004
272,-0.008
273,0.038
274,0.028
275,0.02
276,0.036000000000000004
277,0.044
278,0.061
279,0.091
280,0.103
281,0.061
282,0.043
283,0.054000000000000006
284,0.028
285,-0.009000000000000001
286,-0.025
287,-0.04
288,-0.069
289,-0.086
290,-0.085
291,-0.1
292,-0.111
293,-0.094
294,-0.111
295,-0.115
296,-0.107
297,-0.09
298,-0.099
299,-0.098
300,-0.093
301,-0.101
302,-0.094
303,-0.077
304,-0.079
305,-0.08800000000000001
306,-0.073
307,-0.063
308,-0.07200000000000001
309,-0.091
310,-0.095
311,-0.08199999999999999
312,-0.043
313,0.07200000000000001
314,0.238
315,0.362
316,0.49
317,0.6559999999999999
318,0.75
319,0.601
320,0.453
321,0.171
322,-0.142
323,-0.354
324,-0.401
325,-0.353
326,-0.239
327,-0.12
328,-0.06
329,-0.041
330,-0.039
331,-0.046
332,-0.046
333,-0.023
334,-0.028
335,-0.037000000000000005
336,-0.028
337,-0.005
338,-0.006999999999999999
339,-0.015
340,0.0
341,0.002
342,0.002
343,-0.005
344,0.01
345,0.01
346,0.024
347,0.033
348,0.035
349,0.031
350,0.049
351,0.056
352,0.047
353,0.061
354,0.079
355,0.064
356,0.066
357,0.084
358,0.09
359,0.085
360,0.094
361,0.09
362,0.105
363,0.114
364,0.108
365,0.107
366,0.114
367,0.127
368,0.114
369,0.099
370,0.112
371,0.12
372,0.096
373,0.099
374,0.108
375,0.104
376,0.078
377,0.079
378,0.076
379,0.053
380,0.07
381,0.064
382,0.044
383,0.035
384,0.031
385,0.015
386,0.002
387,0.004
388,-0.004
389,-0.038
390,-0.042
391,-0.043
392,-0.056
393,-0.064
394,-0.07
395,-0.083
396,-0.1
397,-0.08900000000000001
398,-0.076
399,-0.095
400,-0.097
401,-0.083
402,-0.08800000000000001
403,-0.093
404,-0.07200000000000001
405,-0.07400000000000001
406,-0.08199999999999999
407,-0.066
408,-0.05
409,-0.066
410,-0.057
411,-0.045
412,-0.051
413,-0.06
414,-0.05
415,-0.042
416,-0.048
417,-0.038
418,-0.034
419,-0.044
420,-0.053
421,-0.039
422,-0.036000000000000004
423,-0.051
424,-0.043
425,-0.055
426,-0.066
427,-0.051
428,-0.045
429,-0.06
430,-0.06
431,-0.049
432,-0.056
433,-0.05
434,-0.003
435,0.048
436,0.047
437,0.043
438,0.024
439,0.03
440,0.063
441,0.1
442,0.105
443,0.056
444,0.032
445,0.025
446,0.015
447,-0.013
448,-0.036000000000000004
449,-0.069
450,-0.09
451,-0.103
452,-0.112
453,-0.133
454,-0.13699999999999998
455,-0.126
456,-0.138
457,-0.135
458,-0.129
459,-0.132
460,-0.146
461,-0.128
462,-0.121
463,-0.129
464,-0.134
465,-0.101
466,-0.102
467,-0.108
468,-0.101
469,-0.092
470,-0.109
471,-0.111
472,-0.132
473,-0.135
474,-0.045
475,0.073
476,0.213
477,0.266
478,0.3720000000000001
479,0.54
480,0.659
481,0.608
482,0.536
483,0.152
484,-0.207
485,-0.44
486,-0.439
487,-0.29100000000000004
488,-0.132
