,Resting_ECG
0,-0.078
1,-0.08199999999999999
2,-0.071
3,-0.075
4,-0.07
5,-0.069
6,-0.057
7,-0.039
8,-0.022
9,0.005
10,0.07
11,0.187
12,0.327
13,0.562
14,0.862
15,1.023
16,1.1
17,1.068
18,0.962
19,0.778
20,0.508
21,0.162
22,-0.142
23,-0.345
24,-0.345
25,-0.27
26,-0.227
27,-0.231
28,-0.236
29,-0.234
30,-0.238
31,-0.245
32,-0.249
33,-0.247
34,-0.241
35,-0.238
36,-0.234
37,-0.239
38,-0.245
39,-0.226
40,-0.226
41,-0.239
42,-0.227
43,-0.217
44,-0.215
45,-0.218
46,-0.21
47,-0.209
48,-0.205
49,-0.202
50,-0.198
51,-0.191
52,-0.18
53,-0.172
54,-0.181
55,-0.177
56,-0.16899999999999998
57,-0.16899999999999998
58,-0.173
59,-0.163
60,-0.152
61,-0.15
62,-0.149
63,-0.145
64,-0.135
65,-0.136
66,-0.135
67,-0.138
68,-0.14
69,-0.13
70,-0.126
71,-0.126
72,-0.122
73,-0.119
74,-0.124
75,-0.128
76,-0.118
77,-0.116
78,-0.123
79,-0.123
80,-0.117
81,-0.115
82,-0.121
83,-0.123
84,-0.131
85,-0.139
86,-0.133
87,-0.134
88,-0.14800000000000002
89,-0.14800000000000002
90,-0.14800000000000002
91,-0.16
92,-0.16899999999999998
93,-0.161
94,-0.157
95,-0.16
96,-0.162
97,-0.163
98,-0.175
99,-0.17
100,-0.162
101,-0.171
102,-0.171
103,-0.16
104,-0.156
105,-0.155
106,-0.153
107,-0.14
108,-0.14
109,-0.136
110,-0.119
111,-0.109
112,-0.103
113,-0.085
114,-0.07
115,-0.064
116,-0.057
117,-0.042
118,-0.046
119,-0.035
120,-0.023
121,-0.013
122,-0.008
123,0.003
124,0.014
125,0.016
126,0.025
127,0.033
128,0.031
129,0.028
130,0.036000000000000004
131,0.044
132,0.039
133,0.05
134,0.062
135,0.053
136,0.056
137,0.06
138,0.063
139,0.061
140,0.062
141,0.06
142,0.059
143,0.062
144,0.064
145,0.064
146,0.066
147,0.073
148,0.07
149,0.071
150,0.076
151,0.076
152,0.075
153,0.08
154,0.09
155,0.093
156,0.094
157,0.101
158,0.098
159,0.093
160,0.098
161,0.102
162,0.101
163,0.11
164,0.126
165,0.128
166,0.12
167,0.122
168,0.124
169,0.12
170,0.126
171,0.136
172,0.13
173,0.126
174,0.139
175,0.139
176,0.135
177,0.129
178,0.128
179,0.134
180,0.135
181,0.158
182,0.151
183,0.157
184,0.155
185,0.149
186,0.147
187,0.156
188,0.15
189,0.142
190,0.147
191,0.156
192,0.146
193,0.147
194,0.154
195,0.157
196,0.163
197,0.172
198,0.17600000000000002
199,0.168
200,0.161
201,0.165
202,0.17
203,0.168
204,0.172
205,0.175
206,0.17600000000000002
207,0.177
208,0.188
209,0.189
210,0.185
211,0.185
212,0.194
213,0.189
214,0.19
215,0.19
216,0.171
217,0.16899999999999998
218,0.174
219,0.172
220,0.161
221,0.173
222,0.16899999999999998
223,0.185
224,0.221
225,0.239
226,0.221
227,0.218
228,0.233
229,0.244
230,0.253
231,0.254
232,0.251
233,0.243
234,0.223
235,0.218
236,0.21600000000000005
237,0.193
238,0.17800000000000002
239,0.154
240,0.14
241,0.124
242,0.118
243,0.109
244,0.1
245,0.1
246,0.094
247,0.135
248,0.152
249,0.106
250,0.073
251,0.057
252,0.051
253,0.054000000000000006
254,0.095
255,0.107
256,0.077
257,0.062
258,0.081
259,0.123
260,0.116
261,0.106
262,0.066
263,0.044
264,0.068
265,0.145
266,0.16699999999999998
267,0.194
268,0.233
269,0.333
270,0.528
271,0.8220000000000001
272,1.085
273,1.2
274,1.185
275,1.12
276,0.989
277,0.7090000000000001
278,0.408
279,0.098
280,-0.177
281,-0.298
282,-0.27
283,-0.096
284,-0.114
285,-0.149
286,-0.166
287,-0.161
288,-0.077
289,-0.09
290,-0.173
291,-0.173
292,-0.136
293,-0.21
294,-0.31
295,-0.305
296,-0.289
297,-0.242
298,-0.225
299,-0.212
300,-0.199
301,-0.14400000000000002
302,-0.058
303,-0.042
304,-0.106
305,-0.094
306,-0.059
307,-0.108
308,-0.126
309,-0.098
310,-0.025
311,-0.056
312,-0.16399999999999998
313,-0.243
314,-0.29600000000000004
315,-0.292
316,-0.281
317,-0.28300000000000003
318,-0.269
319,-0.227
320,-0.16899999999999998
321,-0.11
322,0.111
323,0.078
324,-0.018000000000000002
325,-0.08
326,0.006999999999999999
327,0.209
328,0.153
329,0.039
330,-0.25
331,-0.457
332,-0.433
333,-0.315
334,-0.247
335,-0.228
336,-0.211
337,-0.158
338,-0.112
339,-0.101
340,-0.14400000000000002
341,-0.101
342,-0.061
343,-0.105
344,-0.166
345,-0.027000000000000003
346,0.029
347,-0.091
348,-0.242
349,-0.28
350,-0.265
351,-0.202
352,-0.188
353,-0.223
354,-0.237
355,-0.249
356,-0.265
357,-0.272
358,-0.246
359,-0.221
360,-0.214
361,-0.238
362,-0.241
363,-0.184
364,-0.197
365,-0.259
366,-0.27
367,-0.254
368,-0.232
369,-0.218
370,-0.256
371,-0.25
372,-0.225
373,-0.214
374,-0.222
375,-0.21
376,-0.17800000000000002
377,-0.174
378,-0.191
379,-0.188
380,-0.175
381,-0.14800000000000002
382,-0.124
383,-0.092
384,-0.1
385,-0.16699999999999998
386,-0.22
387,-0.21600000000000005
388,-0.196
389,-0.175
390,-0.152
391,-0.165
392,-0.154
393,-0.11
394,-0.117
395,-0.136
396,-0.135
397,-0.131
398,-0.128
399,-0.13699999999999998
400,-0.15
401,-0.149
402,-0.121
403,-0.102
404,-0.12
405,-0.128
406,-0.115
407,-0.118
408,-0.135
409,-0.133
410,-0.133
411,-0.117
412,-0.114
413,-0.131
414,-0.14300000000000002
415,-0.14
416,-0.11
417,-0.086
418,-0.073
419,-0.086
420,-0.123
421,-0.14
422,-0.075
423,-0.032
424,-0.046
425,-0.124
426,-0.153
427,-0.135
428,-0.111
429,-0.113
430,-0.086
431,-0.095
432,-0.09
433,-0.073
434,-0.057
435,-0.05
436,-0.07
437,-0.058
438,-0.057
439,-0.063
440,-0.049
441,-0.023
442,-0.046
443,-0.047
444,-0.052000000000000005
445,-0.044
446,-0.039
447,-0.03
448,-0.037000000000000005
449,-0.04
450,-0.02
451,-0.022
452,-0.032
453,-0.024
454,-0.011
455,-0.012
456,-0.015
457,-0.012
458,-0.003
459,-0.002
460,0.0
461,-0.004
462,-0.006999999999999999
463,0.009000000000000001
464,0.01
465,0.005
466,0.005
467,0.025
468,0.029
469,0.009000000000000001
470,0.006999999999999999
471,0.019
472,0.021
473,0.015
474,0.015
475,0.018000000000000002
476,0.026
477,0.036000000000000004
478,0.02
479,0.018000000000000002
480,0.023
481,0.025
482,0.021
483,0.024
484,0.037000000000000005
485,0.033
486,0.023
487,0.027000000000000003
488,0.031
489,0.028
490,0.033
491,0.036000000000000004
492,0.059
493,0.096
494,0.107
495,0.083
496,0.065
497,0.087
498,0.107
499,0.122
500,0.113
501,0.119
502,0.113
503,0.08199999999999999
504,0.068
505,0.051
506,0.032
507,0.038
508,0.026
509,0.015
510,0.008
511,-0.005
512,-0.026
513,-0.038
514,-0.029
515,-0.026
516,-0.033
517,-0.031
518,-0.025
519,-0.031
520,-0.037000000000000005
521,-0.037000000000000005
522,-0.037000000000000005
523,-0.03
524,-0.024
525,-0.032
526,-0.044
527,-0.035
528,-0.025
529,-0.025
530,-0.028
531,-0.017
532,0.012
533,0.014
534,0.027000000000000003
535,0.104
536,0.221
537,0.364
538,0.59
539,0.893
540,1.079
541,1.171
542,1.128
543,1.046
544,0.922
545,0.655
546,0.308
547,-0.02
548,-0.244
549,-0.273
550,-0.223
551,-0.17600000000000002
552,-0.177
553,-0.18
554,-0.168
555,-0.168
556,-0.179
557,-0.181
558,-0.177
559,-0.179
560,-0.189
561,-0.179
562,-0.179
563,-0.175
564,-0.16899999999999998
565,-0.165
566,-0.16699999999999998
567,-0.155
568,-0.14
569,-0.138
570,-0.13699999999999998
571,-0.116
572,-0.112
573,-0.108
574,-0.108
575,-0.102
576,-0.102
577,-0.099
578,-0.095
579,-0.092
580,-0.09
581,-0.081
582,-0.066
583,-0.066
584,-0.057
585,-0.051
586,-0.051
587,-0.052000000000000005
588,-0.035
589,-0.029
590,-0.027000000000000003
591,-0.027000000000000003
592,-0.014
593,-0.011
594,-0.016
595,-0.012
596,-0.006999999999999999
597,-0.005
598,0.005
599,0.008
600,0.001
601,0.004
602,0.01
603,0.009000000000000001
604,0.002
605,0.006999999999999999
606,0.005
607,-0.009000000000000001
608,-0.017
609,-0.019
610,-0.025
611,-0.035
612,-0.038
613,-0.045
614,-0.045
615,-0.041
616,-0.047
617,-0.063
618,-0.063
619,-0.066
620,-0.086
621,-0.099
622,-0.1
623,-0.107
624,-0.109
625,-0.108
626,-0.112
627,-0.125
628,-0.129
629,-0.126
630,-0.131
631,-0.124
632,-0.124
633,-0.123
634,-0.121
635,-0.112
636,-0.1
637,-0.109
638,-0.096
639,-0.079
640,-0.077
641,-0.07400000000000001
642,-0.061
643,-0.058
644,-0.05
645,-0.041
646,-0.027000000000000003
647,-0.028
648,-0.033
649,-0.025
650,-0.029
651,-0.031
652,-0.019
653,-0.012
654,-0.017
655,-0.012
656,-0.006
657,-0.009000000000000001
658,-0.006
659,-0.0
660,-0.001
661,-0.004
662,0.002
663,0.005
664,-0.006999999999999999
665,-0.001
666,-0.0
667,-0.001
668,-0.006
669,-0.001
670,0.006999999999999999
671,0.002
672,0.009000000000000001
673,0.011
674,0.003
675,-0.0
676,0.006
677,0.005
678,0.009000000000000001
679,0.015
680,0.018000000000000002
681,0.011
682,0.013
683,0.026
684,0.013
685,0.017
686,0.023
687,0.022
688,0.025
689,0.029
690,0.03
691,0.036000000000000004
692,0.035
693,0.042
694,0.036000000000000004
695,0.031
696,0.038
697,0.035
698,0.037000000000000005
699,0.046
700,0.058
701,0.049
702,0.062
703,0.066
704,0.069
705,0.064
706,0.07200000000000001
707,0.07
708,0.069
709,0.069
710,0.076
711,0.079
712,0.077
713,0.083
714,0.075
715,0.075
716,0.086
717,0.086
718,0.08199999999999999
719,0.083
720,0.092
721,0.087
722,0.09
723,0.093
724,0.091
725,0.094
726,0.102
727,0.105
728,0.096
729,0.101
730,0.101
731,0.095
732,0.095
733,0.123
734,0.15
735,0.161
736,0.165
737,0.158
738,0.14800000000000002
739,0.166
740,0.181
741,0.21
742,0.191
743,0.203
744,0.199
745,0.174
746,0.163
747,0.149
748,0.123
749,0.123
750,0.114
751,0.093
752,0.076
753,0.065
754,0.063
755,0.066
756,0.063
757,0.07200000000000001
758,0.069
759,0.065
760,0.071
761,0.065
762,0.058
763,0.067
764,0.075
765,0.068
766,0.077
767,0.08
768,0.076
769,0.07200000000000001
770,0.07400000000000001
771,0.078
772,0.068
773,0.076
774,0.107
775,0.1
776,0.126
777,0.212
778,0.337
779,0.503
780,0.76
781,1.068
782,1.236
783,1.262
784,1.171
785,1.164
786,1.073
787,0.784
788,0.424
789,0.077
790,-0.125
791,-0.16899999999999998
792,-0.165
793,-0.119
794,-0.106
795,-0.114
796,-0.103
797,-0.092
798,-0.111
799,-0.13699999999999998
800,-0.126
801,-0.108
802,-0.124
803,-0.139
804,-0.126
805,-0.108
806,-0.111
807,-0.118
808,-0.106
809,-0.095
810,-0.091
811,-0.093
812,-0.102
813,-0.087
814,-0.063
815,-0.07200000000000001
816,-0.085
817,-0.067
818,-0.048
819,-0.058
820,-0.066
821,-0.049
822,-0.042
823,-0.04
824,-0.045
825,-0.044
826,-0.036000000000000004
827,-0.018000000000000002
828,-0.023
829,-0.034
830,-0.022
831,-0.01
832,-0.017
833,-0.028
834,-0.011
835,-0.002
836,-0.011
837,-0.022
838,-0.019
839,-0.013
840,-0.012
841,-0.02
842,-0.018000000000000002
843,-0.015
844,-0.004
845,-0.01
846,-0.028
847,-0.03
848,-0.026
849,-0.03
850,-0.042
851,-0.039
852,-0.044
853,-0.059
854,-0.075
855,-0.075
856,-0.091
857,-0.092
858,-0.097
859,-0.107
860,-0.117
861,-0.112
862,-0.132
863,-0.14800000000000002
864,-0.149
865,-0.147
866,-0.16
867,-0.168
868,-0.161
869,-0.166
870,-0.16699999999999998
871,-0.165
872,-0.16399999999999998
873,-0.16699999999999998
874,-0.161
875,-0.161
876,-0.165
877,-0.161
878,-0.14400000000000002
879,-0.14300000000000002
880,-0.14400000000000002
881,-0.131
882,-0.116
883,-0.117
884,-0.125
885,-0.123
886,-0.125
887,-0.128
888,-0.117
889,-0.113
890,-0.115
891,-0.105
892,-0.095
893,-0.1
894,-0.092
895,-0.083
896,-0.08900000000000001
897,-0.097
898,-0.097
899,-0.1
900,-0.103
901,-0.101
902,-0.093
903,-0.093
904,-0.085
905,-0.07400000000000001
906,-0.076
907,-0.1
908,-0.113
909,-0.117
910,-0.119
911,-0.115
912,-0.102
913,-0.107
914,-0.104
915,-0.095
916,-0.099
917,-0.102
918,-0.101
919,-0.1
920,-0.104
921,-0.098
922,-0.096
923,-0.093
924,-0.09
925,-0.086
926,-0.08199999999999999
927,-0.093
928,-0.079
929,-0.073
930,-0.084
931,-0.07400000000000001
932,-0.048
933,-0.035
934,-0.048
935,-0.068
936,-0.09
937,-0.1
938,-0.093
939,-0.08199999999999999
940,-0.08199999999999999
941,-0.08
942,-0.059
943,-0.057
944,-0.051
945,-0.05
946,-0.054000000000000006
947,-0.053
948,-0.042
949,-0.018000000000000002
950,-0.015
951,-0.028
952,-0.039
953,-0.052000000000000005
954,-0.055
955,-0.033
956,-0.024
957,-0.031
958,-0.041
959,-0.048
960,-0.053
961,-0.049
962,-0.043
963,-0.043
964,-0.045
965,-0.041
966,-0.04
967,-0.044
968,-0.039
969,-0.024
970,-0.011
971,-0.026
972,-0.025
973,-0.021
974,-0.02
975,-0.023
976,-0.013
977,0.018000000000000002
978,0.064
979,0.064
980,0.042
981,0.028
982,0.049
983,0.07400000000000001
984,0.095
985,0.08800000000000001
986,0.08900000000000001
987,0.081
988,0.056
989,0.058
990,0.041
991,0.017
992,0.009000000000000001
993,0.006
994,-0.005
995,-0.021
996,-0.037000000000000005
997,-0.053
998,-0.055
999,-0.052000000000000005
1000,-0.045
1001,-0.052000000000000005
1002,-0.046
1003,-0.031
