,Resting_ECG
0,-0.07200000000000001
1,-0.08800000000000001
2,-0.11
3,-0.092
4,-0.069
5,-0.079
6,-0.104
7,-0.086
8,-0.055
9,-0.059
10,-0.07400000000000001
11,-0.083
12,-0.067
13,-0.038
14,-0.063
15,-0.067
16,-0.059
17,-0.04
18,-0.049
19,-0.052000000000000005
20,-0.05
21,-0.034
22,-0.035
23,-0.045
24,-0.035
25,-0.023
26,-0.023
27,-0.032
28,-0.039
29,-0.023
30,-0.015
31,-0.019
32,-0.029
33,-0.033
34,-0.017
35,-0.017
36,-0.027000000000000003
37,-0.023
38,-0.011
39,-0.017
40,-0.018000000000000002
41,-0.014
42,-0.004
43,0.002
44,-0.011
45,-0.009000000000000001
46,-0.0
47,0.006999999999999999
48,0.008
49,0.002
50,-0.012
51,0.003
52,0.003
53,0.002
54,0.006999999999999999
55,0.006999999999999999
56,0.008
57,0.015
58,0.01
59,0.008
60,0.012
61,0.006
62,0.012
63,0.015
64,0.01
65,0.011
66,0.014
67,0.012
68,0.027000000000000003
69,0.027000000000000003
70,0.023
71,0.038
72,0.038
73,0.046
74,0.059
75,0.07400000000000001
76,0.08800000000000001
77,0.1
78,0.105
79,0.118
80,0.14
81,0.133
82,0.122
83,0.118
84,0.095
85,0.083
86,0.064
87,0.051
88,0.037000000000000005
89,0.021
90,0.021
91,0.016
92,0.014
93,-0.005
94,-0.008
95,-0.009000000000000001
96,-0.014
97,-0.01
98,-0.01
99,-0.01
100,-0.009000000000000001
101,-0.01
102,-0.015
103,-0.01
104,-0.006999999999999999
105,-0.004
106,-0.002
107,-0.006999999999999999
108,0.003
109,0.006999999999999999
110,-0.012
111,0.005
112,0.08900000000000001
113,0.209
114,0.331
115,0.504
116,0.62
117,0.768
118,0.785
119,0.58
120,0.094
121,-0.406
122,-0.925
123,-1.086
124,-1.072
125,-0.95
126,-0.774
127,-0.583
128,-0.34
129,-0.131
130,0.032
131,0.105
132,0.142
133,0.16699999999999998
134,0.185
135,0.201
136,0.199
137,0.211
138,0.223
139,0.237
140,0.226
141,0.219
142,0.231
143,0.245
144,0.238
145,0.233
146,0.237
147,0.245
148,0.247
149,0.239
150,0.244
151,0.254
152,0.261
153,0.254
154,0.25
155,0.261
156,0.27
157,0.263
158,0.261
159,0.267
160,0.28600000000000003
161,0.29
162,0.284
163,0.29
164,0.294
165,0.298
166,0.295
167,0.29600000000000004
168,0.3
169,0.302
170,0.282
171,0.272
172,0.27
173,0.257
174,0.241
175,0.22
176,0.207
177,0.197
178,0.172
179,0.145
180,0.12
181,0.107
182,0.08
183,0.04
184,0.014
185,-0.006999999999999999
186,-0.027000000000000003
187,-0.07200000000000001
188,-0.104
189,-0.133
190,-0.153
191,-0.187
192,-0.209
193,-0.224
194,-0.232
195,-0.247
196,-0.266
197,-0.268
198,-0.268
199,-0.27
200,-0.28
201,-0.277
202,-0.272
203,-0.27
204,-0.279
205,-0.274
206,-0.259
207,-0.25
208,-0.253
209,-0.255
210,-0.249
211,-0.238
212,-0.229
213,-0.23
214,-0.227
215,-0.215
216,-0.211
217,-0.209
218,-0.206
219,-0.195
220,-0.188
221,-0.185
222,-0.187
223,-0.16899999999999998
224,-0.158
225,-0.162
226,-0.171
227,-0.168
228,-0.155
229,-0.156
230,-0.155
231,-0.149
232,-0.14300000000000002
233,-0.14800000000000002
234,-0.141
235,-0.141
236,-0.133
237,-0.128
238,-0.135
239,-0.131
240,-0.133
241,-0.124
242,-0.122
243,-0.124
244,-0.128
245,-0.127
246,-0.118
247,-0.12
248,-0.121
249,-0.113
250,-0.111
251,-0.116
252,-0.112
253,-0.107
254,-0.102
255,-0.103
256,-0.104
257,-0.1
258,-0.097
259,-0.093
260,-0.09
261,-0.086
262,-0.083
263,-0.08199999999999999
264,-0.084
265,-0.081
266,-0.07400000000000001
267,-0.07
268,-0.073
269,-0.061
270,-0.059
271,-0.052000000000000005
272,-0.057
273,-0.052000000000000005
274,-0.052000000000000005
275,-0.049
276,-0.047
277,-0.041
278,-0.041
279,-0.038
